mean_R,mean_G,mean_B,x,y,dye,doz,antibiotic
0.7469654778639475,0.6813925902048746,0.7515072623888651,1,1,Ecoli_mg,1,Chloramphenicol
0.7469654778639475,0.6813925902048746,0.7515072623888651,1,2,Ecoli_mg,2,Chloramphenicol
0.7469654778639475,0.6813925902048746,0.7515072623888651,1,3,Ecoli_mg,4,Chloramphenicol
0.7469654778639475,0.6813925902048746,0.7515072623888651,1,4,Ecoli_mg,8,Chloramphenicol
0.7469654778639475,0.6813925902048746,0.7515072623888651,1,5,Ecoli_mg,16,Chloramphenicol
0.7469654778639475,0.6813925902048746,0.7515072623888651,1,6,Ecoli_mg,32,Chloramphenicol
0.7469654778639475,0.6813925902048746,0.7515072623888651,1,7,Ecoli_mg,64,Chloramphenicol
0.7459116528431574,0.6255568911631902,0.7253300895293554,2,0,Ecoli_mg,0,Kanamycin
0.7459116528431574,0.6255568911631902,0.7253300895293554,2,1,Ecoli_mg,1,Kanamycin
0.7459116528431574,0.6255568911631902,0.7253300895293554,2,2,Ecoli_mg,2,Kanamycin
0.7459116528431574,0.6255568911631902,0.7253300895293554,2,3,Ecoli_mg,4,Kanamycin
0.7459116528431574,0.6255568911631902,0.7253300895293554,2,4,Ecoli_mg,8,Kanamycin
0.7459116528431574,0.6255568911631902,0.7253300895293554,2,5,Ecoli_mg,16,Kanamycin
0.7459116528431574,0.6255568911631902,0.7253300895293554,2,6,Ecoli_mg,32,Kanamycin
0.7459116528431574,0.6255568911631902,0.7253300895293554,2,7,Ecoli_mg,64,Kanamycin
0.8149860153595606,0.7525143374999365,0.8005135556062063,3,0,Ecoli_mg,0,Tetracycline
0.8149860153595606,0.7525143374999365,0.8005135556062063,3,1,Ecoli_mg,1,Tetracycline
0.8149860153595606,0.7525143374999365,0.8005135556062063,3,2,Ecoli_mg,2,Tetracycline
0.8149860153595606,0.7525143374999365,0.8005135556062063,3,3,Ecoli_mg,4,Tetracycline
0.8149860153595606,0.7525143374999365,0.8005135556062063,3,4,Ecoli_mg,8,Tetracycline
0.8149860153595606,0.7525143374999365,0.8005135556062063,3,5,Ecoli_mg,16,Tetracycline
0.8149860153595606,0.7525143374999365,0.8005135556062063,3,6,Ecoli_mg,32,Tetracycline
0.8149860153595606,0.7525143374999365,0.8005135556062063,3,7,Ecoli_mg,64,Tetracycline
0.79853256046772,0.6758036067088445,0.7413032352924347,0,0,s_typh,0,Ampicillin
