mean_R,mean_G,mean_B,x,y,dye,doz,antibiotic,category
0.745911653,0.625556891,0.72533009,2,3,Ecoli_mg,4,Kanamycin,R
0.745911653,0.625556891,0.72533009,2,4,Ecoli_mg,8,Kanamycin,R
0.745911653,0.625556891,0.72533009,2,5,Ecoli_mg,16,Kanamycin,R
0.745911653,0.625556891,0.72533009,2,6,Ecoli_mg,32,Kanamycin,R
0.745911653,0.625556891,0.72533009,2,7,Ecoli_mg,64,Kanamycin,R
0.814986015,0.752514337,0.800513556,3,0,Ecoli_mg,0,Tetracycline,R
0.814986015,0.752514337,0.800513556,3,1,Ecoli_mg,1,Tetracycline,R
0.814986015,0.752514337,0.800513556,3,2,Ecoli_mg,2,Tetracycline,S
0.814986015,0.752514337,0.800513556,3,3,Ecoli_mg,4,Tetracycline,R
0.814986015,0.752514337,0.800513556,3,4,Ecoli_mg,8,Tetracycline,R
0.814986015,0.752514337,0.800513556,3,5,Ecoli_mg,16,Tetracycline,R
0.814986015,0.752514337,0.800513556,3,6,Ecoli_mg,32,Tetracycline,R
0.814986015,0.752514337,0.800513556,3,7,Ecoli_mg,64,Tetracycline,R
0.79853256,0.675803607,0.741303235,0,0,s_typh,0,Ampicillin,R
0.79853256,0.675803607,0.741303235,0,1,s_typh,1,Ampicillin,R
0.79853256,0.675803607,0.741303235,0,2,s_typh,2,Ampicillin,R
0.79853256,0.675803607,0.741303235,0,3,s_typh,4,Ampicillin,R
0.79853256,0.675803607,0.741303235,0,4,s_typh,8,Ampicillin,S
0.79853256,0.675803607,0.741303235,0,5,s_typh,16,Ampicillin,R
0.79853256,0.675803607,0.741303235,0,6,s_typh,32,Ampicillin,R
0.827770948,0.670701593,0.708123321,1,0,s_typh,0,Chloramphenicol,R
0.827770948,0.670701593,0.708123321,1,1,s_typh,1,Chloramphenicol,R
0.827770948,0.670701593,0.708123321,1,2,s_typh,2,Chloramphenicol,R
0.827770948,0.670701593,0.708123321,1,3,s_typh,4,Chloramphenicol,R
0.827770948,0.670701593,0.708123321,1,4,s_typh,8,Chloramphenicol,S
0.827770948,0.670701593,0.708123321,1,5,s_typh,16,Chloramphenicol,R
0.827770948,0.670701593,0.708123321,1,6,s_typh,32,Chloramphenicol,R
0.79048266,0.686681405,0.732186303,2,0,s_typh,0,Kanamycin,R
0.79048266,0.686681405,0.732186303,2,1,s_typh,1,Kanamycin,R
0.79048266,0.686681405,0.732186303,2,2,s_typh,2,Kanamycin,S
0.79048266,0.686681405,0.732186303,2,3,s_typh,4,Kanamycin,R
0.79048266,0.686681405,0.732186303,2,4,s_typh,8,Kanamycin,R
0.79048266,0.686681405,0.732186303,2,5,s_typh,16,Kanamycin,R
0.79048266,0.686681405,0.732186303,2,6,s_typh,32,Kanamycin,R
0.860917668,0.727444455,0.771315068,3,0,s_typh,0,Tetracycline,S
0.860917668,0.727444455,0.771315068,3,1,s_typh,1,Tetracycline,S
0.860917668,0.727444455,0.771315068,3,2,s_typh,2,Tetracycline,S
0.860917668,0.727444455,0.771315068,3,3,s_typh,4,Tetracycline,S
0.860917668,0.727444455,0.771315068,3,4,s_typh,8,Tetracycline,S
0.860917668,0.727444455,0.771315068,3,5,s_typh,16,Tetracycline,S
0.860917668,0.727444455,0.771315068,3,6,s_typh,32,Tetracycline,S
